user_id,course_id,enrolment-date,country,date_joined,grade,date_earned,joined_time,enrolment_time,earned_time,organisation,course_number,modules_attempted
14,course-v1,2024-10-06 21:50:57.165,,2024-08-26 09:10:17.483,0.0,,09:10:17,21:50:57,,UNISS,MC23v1,0
15,course-v1,2024-10-21 10:18:41.235,,2024-08-26 12:23:21.298,0.0,,12:23:21,10:18:41,,DTU,MC27v1,45
15,course-v1,2024-10-14 10:14:57.412,,2024-08-26 12:23:21.298,0.0,,12:23:21,10:14:57,,DTU,MC30v1,35
15,course-v1,2024-09-16 10:47:22.353,,2024-08-26 12:23:21.298,0.0,,12:23:21,10:47:22,,DTU,MC31v1,0
15,course-v1,2024-09-09 12:36:04.733,,2024-08-26 12:23:21.298,0.0,,12:23:21,12:36:04,,DTU,MC32v1,0
15,course-v1,2025-01-09 14:54:06.541,,2024-08-26 12:23:21.298,0.0,,12:23:21,14:54:06,,HU,MC39v1,0
15,course-v1,2024-10-21 10:43:27.433,,2024-08-26 12:23:21.298,0.0,,12:23:21,10:43:27,,HU,MC44v1,20
15,course-v1,2024-09-09 12:46:25.222,,2024-08-26 12:23:21.298,0.0,,12:23:21,12:46:25,,NUIM,MC01v1,0
15,course-v1,2024-09-30 10:21:10.098,,2024-08-26 12:23:21.298,0.0,,12:23:21,10:21:10,,NUIM,MC02v1,1
15,course-v1,2024-09-30 10:40:00.693,,2024-08-26 12:23:21.298,0.0,,12:23:21,10:40:00,,NUIM,MC03v1,0
15,course-v1,2024-09-30 11:00:17.138,,2024-08-26 12:23:21.298,0.0,,12:23:21,11:00:17,,NUIM,MC04v1,0
15,course-v1,2024-10-14 10:31:51.719,,2024-08-26 12:23:21.298,0.0,,12:23:21,10:31:51,,NUIM,MC05v1,32
15,course-v1,2024-09-10 10:48:24.671,,2024-08-26 12:23:21.298,0.0,,12:23:21,10:48:24,,NUIM,MC06v1,0
15,course-v1,2024-09-23 10:28:01.828,,2024-08-26 12:23:21.298,0.0,,12:23:21,10:28:01,,UCOI,MC11v1,0
15,course-v1,2024-10-11 15:36:45.307,,2024-08-26 12:23:21.298,0.0,,12:23:21,15:36:45,,UCOI,MC13v1,4
15,course-v1,2024-10-15 11:39:34.786,,2024-08-26 12:23:21.298,0.0,,12:23:21,11:39:34,,UCOI,MC14v1,3
15,course-v1,2024-10-21 09:12:19.165,,2024-08-26 12:23:21.298,0.0,,12:23:21,09:12:19,,UCOI,MC15v1,3
15,course-v1,2024-09-16 10:52:46.064,,2024-08-26 12:23:21.298,0.0,,12:23:21,10:52:46,,UCOI,MC16v1,0
15,course-v1,2024-08-26 12:26:07.615,,2024-08-26 12:23:21.298,0.0,,12:23:21,12:26:07,,UGA,MC33v1,0
15,course-v1,2024-10-07 10:14:04.766,,2024-08-26 12:23:21.298,0.0,,12:23:21,10:14:04,,UGA,MC34v1,40
15,course-v1,2024-10-07 10:15:00.460,,2024-08-26 12:23:21.298,0.0,,12:23:21,10:15:00,,UGA,MC35v1,9
